TEN,メモリ番号,名称,ﾌﾘｶﾞﾅ,グループ番号,電話番号(1),アイコン番号(1),発信番号属性(1),電話番号(2),アイコン番号(2),発信番号属性(2),電話番号(3),アイコン番号(3),発信番号属性(3),電話番号(4),アイコン番号(4),発信番号属性(4)
,1,MM札幌大通店,ﾒｻｯﾎﾟﾛｵｵﾄﾞｵﾘ,0,0112316386#,1,1,,,,,,,,,
,2,MM札幌駅前店,ﾒｻｯﾎﾟﾛｴｷﾏｴ,0,0115966998#,1,1,,,,,,,,,
,3,MM青森新町店,ﾒｱｵﾓﾘｼﾝﾏﾁ,0,0177735819#,1,1,,,,,,,,,
,4,MM仙台店,ﾒｾﾝﾀﾞｲ,0,0222153828#,1,1,,,,,,,,,
,5,MM富山マリエ店,ﾒﾄﾔﾏﾏﾘｴ,0,0764454778#,1,1,,,,,,,,,
,6,MM金沢片町店,ﾒｶﾅｻﾞﾜ,0,0762628533#,1,1,,,,,,,,,
,7,かなざわ旭町CL,ｶﾅｻﾞﾜｱｻﾋﾏﾁ,0,0762228522#,1,1,,,,,,,,,
,8,MM水道橋店,ﾒｽｲﾄﾞｳﾊﾞｼ,0,0332306712#,1,1,,,,,,,,,
,9,MM市川店,ﾒｲﾁｶﾜ,0,0473230860#,1,1,,,,,,,,,
,10,MM津田沼店,ﾒﾂﾀﾞﾇﾏ,0,0474032105#,1,1,,,,,,,,,
,11,MM千葉Ｃ・ｏｎｅ店,ﾒﾁﾊﾞ,0,0434416503#,1,1,,,,,,,,,
,12,MM高田馬場店,ﾒﾀｶﾀﾞﾉﾊﾞﾊﾞ,0,0352915541#,1,1,,,,,,,,,
,13,MM吉祥寺店,ﾒｷﾁｼﾞｮｳｼﾞ,0,0422208011#,1,1,,,,,,,,,
,14,MM新宿店,ﾒｼﾝｼﾞｭｸ,0,0333453476#,2,1,,,,,,,,,
,15,MM渋谷店,ﾒｼﾌﾞﾔ,0,0334620983#,1,1,,,,,,,,,
,16,MM青葉台店,ﾒｱｵﾊﾞﾀﾞｲ,0,0459885310#,1,1,,,,,,,,,
,17,MM武蔵新城店,ﾒﾑｻｼｼﾝｼﾞｮｳ,0,0448639733#,1,1,,,,,,,,,
,18,MMCeeU Yokohama店,ﾒﾖｺﾊﾏ,0,0453111515#,1,1,,,,,,,,,
,19,MM町田店,ﾒﾏﾁﾀﾞ,0,0427095002#,1,1,,,,,,,,,
,20,富士C横浜店,ﾌｼﾞﾖｺﾊﾏ,0,0453130131#,1,1,,,,,,,,,
,21,富士C川崎ルフロン店,ﾌｼﾞｶﾜｻｷ,0,0442440128#,1,1,,,,,,,,,
,22,富士C町田モディ店,ﾌｼﾞﾏﾁﾀﾞ,0,0427245081#,1,1,,,,,,,,,
,23,富士C溝の口店,ﾌｼﾞﾐｿﾞﾉｸﾞﾁ,0,0448446582#,1,1,,,,,,,,,
,24,MM銀座店,ﾒｷﾞﾝｻﾞ,0,0362158902#,1,1,,,,,,,,,
,25,MM京橋八重洲店,ﾒｷｮｳﾊﾞｼﾔｴｽ,0,0362626372#,1,1,,,,,,,,,
,26,MM上野店,ﾒｳｴﾉ,0,0358467220#,1,1,,,,,,,,,
,27,宇都宮眼鏡院,ｳﾂﾉﾐﾔｶﾞﾝｷｮｳ,0,0286497597#,1,1,,,,,,,,,
,28,MM池袋店,ﾒｲｹﾌﾞｸﾛ,0,0339875154#,1,1,,,,,,,,,
,29,MM亀有店,ﾒｶﾒｱﾘ,0,0356290182#,1,1,,,,,,,,,
,30,アルシェコンタクト,ｱﾙｼｪｺﾝﾀｸﾄ,0,0486581514#,1,1,,,,,,,,,
,31,富士C新橋店,ﾌｼﾞｼﾝﾊﾞｼ,0,0335036791#,1,1,,,,,,,,,
,32,富士Cアリオ川口店,ﾌｼﾞｱﾘｵｶﾜｸﾞﾁ,0,0482417288#,1,1,,,,,,,,,
,33,富士Cﾎﾟﾝﾃﾎﾟﾙﾀ千住店,ﾌｼﾞﾎﾟﾝﾃﾎﾟﾙﾀ,0,0352843441#,1,1,,,,,,,,,
,34,富士C上野御徒町店,ﾌｼﾞｳｴﾉ,0,0368480290#,1,1,,,,,,,,,
,35,富士C大宮マルイ店,ﾌｼﾞｵｵﾐﾔﾏﾙｲ,0,0486447077#,1,1,,,,,,,,,
,36,富士C池袋店,ﾌｼﾞｲｹﾌﾞｸﾛ,0,0339810301#,1,1,,,,,,,,,
,37,富士Cふじみ野店,ﾌｼﾞﾌｼﾞﾐﾔ,0,0492565470#,1,1,,,,,,,,,
,38,富士C浦和店,ﾌｼﾞｳﾗﾜ,0,0488318131#,1,1,,,,,,,,,
,39,MMミッドランド店,ﾒﾐｯﾄﾞﾗﾝﾄﾞ,0,0525835771#,1,1,,,,,,,,,
,40,MMＪＲゲートタワー店,ﾒｼﾞｪｲｱｰﾙｹﾞｰﾄ,0,0524629217#,1,1,,,,,,,,,
,41,M+ＪＲタワーズ店,ﾐﾙﾌﾟﾗｽｼﾞｪｲｱｰﾙﾀﾜｰｽﾞ,0,0527562229#,1,1,,,,,,,,,
,42,MM名駅店,ﾒﾒｲｴｷ,0,0525625512#,1,1,,,,,,,,,
,43,M+名古屋笹島店,ﾐﾙﾌﾟﾗｽﾅｺﾞﾔｻｻｼﾏ,0,0525339255#,1,1,,,,,,,,,
,44,MM栄店,ﾒｻｶｴ,0,0522611812#,1,1,,,,,,,,,
,45,MMアスナル金山店,ﾒｱｽﾅﾙｶﾅﾔﾏ,0,0523310539#,1,1,,,,,,,,,
,46,MM千種店,ﾒﾁｸｻ,0,0527332123#,1,1,,,,,,,,,
,47,愛知淑徳大学C,ｱｲﾁｼｭｸﾄｸ,0,0561636960#,1,1,,,,,,,,,
,48,MM則武新町店,ﾒﾉﾘﾀｹ,0,0524467251#,1,1,,,,,,,,,
,49,MM豊橋店,ﾒﾄﾖﾊｼ,0,0532562727#,1,1,,,,,,,,,
,50,MM岐阜店,ﾒｷﾞﾌ,0,0582630143#,1,1,,,,,,,,,
,51,MM静岡店,ﾒｼｽﾞｵｶ,0,0542533078#,1,1,,,,,,,,,
,52,MM梅田茶屋町店,ﾒｳﾒﾀﾞﾁｬﾔ,0,0642565072#,1,1,,,,,,,,,
,53,M+ホワイティうめだ店,ﾐﾙﾌﾟﾗｽﾎﾜｲﾃｨｳﾒﾀﾞ,0,0668093381#,1,1,,,,,,,,,
,54,MM高松店,ﾒﾀｶﾏﾂ,0,0878115180#,1,1,,,,,,,,,
,55,M+心斎橋筋店,ﾐﾙﾌﾟﾗｽｼﾝｻｲﾊﾞｼ,0,0662513469#,1,1,,,,,,,,,
,56,MM心斎橋店,ﾒｼﾝｻｲﾊﾞｼ,0,0662278830#,1,1,,,,,,,,,
,57,MM大阪上本町店,ﾒｵｵｻｶｳｴﾎﾝﾏﾁ,0,0667615589#,1,1,,,,,,,,,
,58,MM東岸和田店,ﾒﾋｶﾞｼｷｼﾜﾀﾞ,0,0724332666#,1,1,,,,,,,,,
,59,MM高槻店,ﾒﾀｶﾂｷ,0,0726724300#,1,1,,,,,,,,,
,60,MM阪急茨木店,ﾒﾊﾝｷｭｳｲﾊﾞﾗｷ,0,0726656025#,1,1,,,,,,,,,
,61,MM広島駅前店,ﾒﾋﾛｼﾏｴｷﾏｴ,0,0822642355#,1,1,,,,,,,,,
,62,MM広島本通店,ﾒﾋﾛｼﾏﾎﾝﾄﾞｵﾘ,0,0822467761#,1,1,,,,,,,,,
,63,MM福山店,ﾒﾌｸﾔﾏ,0,0849236011#,1,1,,,,,,,,,
,64,MM松山店,ﾒﾏﾂﾔﾏ,0,0899937620#,1,1,,,,,,,,,
,65,MM福岡天神店,ﾒﾌｸｵｶﾃﾝｼﾞﾝ,0,0927137464#,1,1,,,,,,,,,
,66,MM熊本店,ﾒｸﾏﾓﾄ,0,0963252666#,1,1,,,,,,,,,
,67,M+熊本下通店,ﾐﾙﾌﾟﾗｽｸﾏﾓﾄ,0,0963120012#,1,1,,,,,,,,,
,68,MM佐世保店,ﾒｻｾﾎﾞ,0,0956767878#,1,1,,,,,,,,,
,69,MM諫早店,ﾒｲｻﾊﾔ,0,0957270837#,1,1,,,,,,,,,
,70,MM鹿児島天文館店,ﾒｶｺﾞｼﾏﾃﾝﾓﾝｶﾝ,0,0992264648#,1,1,,,,,,,,,
,71,M+鹿児島中央店,ﾐﾙﾌﾟﾗｽｶｺﾞｼﾏ,0,0998147393#,1,1,,,,,,,,,
,72,南九州CL,ﾐﾅﾐｷｭｳｼｭｳｼｰｴﾙ,0,0992974199#,1,1,,,,,,,,,
,73,BtoC事業部,ﾋﾞｰﾄｩｰｼｰｼﾞｷﾞｮｳﾌﾞ,0,0529351506#,1,1,,,,,,,,,
,74,顧客対応課,ｺｷｬｸﾀｲｵｳｶ,0,0529351253#,1,1,,,,,,,,,
,75,デジタル推進部,ﾃﾞｼﾞﾀﾙｽｲｼﾝﾌﾞ,0,0529351722#,1,1,,,,,,,,,
,76,ﾒﾆｺﾝｶｽﾀﾏｰｾﾝﾀｰ,ﾒﾆｺﾝｶｽﾀﾏｰｾﾝﾀ,0,0933308230#,1,1,,,,,,,,,
